uid,gid,cluster,size,seq,series,begin,end,id,book
7673578032654995020,2271800227472581094,60129594369,2,1227,Kraken210630005153-ara1,1,157,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
7673578032654995020,2271800227472581094,60129594368,2,1227,Kraken210630005153-ara1,1045,1345,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
7673578032654995020,2271800227472581094,60129594370,2,1227,Kraken210630005153-ara1,187,613,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-5726912475599769268,2271800227472581094,94241,3,8229,Kraken210630005153-ara1,524,677,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-5726912475599769268,2271800227472581094,94239,5,8229,Kraken210630005153-ara1,349,677,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-3177716098368911188,2271800227472581094,94489471081,3,4704,Kraken210630005153-ara1,530,712,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-689006669045601045,2271800227472581094,206158615548,2,2198,Kraken210630005153-ara1,155,1523,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-689006669045601045,2271800227472581094,206158615549,3,2198,Kraken210630005153-ara1,1,614,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
5993675485032182232,2271800227472581094,47103,266,5848,Kraken210630005153-ara1,571,814,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-5549228784793094298,2271800227472581094,197568512177,2,1963,Kraken210630005153-ara1,1138,1578,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-7540183921350894129,2271800227472581094,395137052976,3,8280,Kraken210630005153-ara1,454,599,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
2464072048610513598,2271800227472581094,8590080828,78,7751,Kraken210630005153-ara1,1199,1347,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4498578698053580396,2271800227472581094,343597500905,2,1212,Kraken210630005153-ara1,5,1298,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
2233268423835022965,2271800227472581094,214748560087,3,2209,Kraken210630005153-ara1,1334,1706,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8608421710366937753,2271800227472581094,42949886298,3,7828,Kraken210630005153-ara1,4,511,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8608421710366937753,2271800227472581094,266288182341,3,7828,Kraken210630005153-ara1,4,123,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
2995961253110112746,2271800227472581094,360777403728,3,7280,Kraken210630005153-ara1,1,702,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
2995961253110112746,2271800227472581094,360777403729,3,7280,Kraken210630005153-ara1,1,476,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8932327190999649573,2271800227472581094,103079318986,3,874,Kraken210630005153-ara1,537,685,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8932327190999649573,2271800227472581094,103079318983,2,874,Kraken210630005153-ara1,175,685,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8932327190999649573,2271800227472581094,103079318987,3,874,Kraken210630005153-ara1,182,685,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-7553147049228298838,2271800227472581094,180388627769,2,2272,Kraken210630005153-ara1,756,1156,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
1402715357919631914,2271800227472581094,523986054732,2,6494,Kraken210630005153-ara1,1164,1587,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
1402715357919631914,2271800227472581094,523986054733,2,6494,Kraken210630005153-ara1,575,1169,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
7668285138885193328,2271800227472581094,257698087819,3,1461,Kraken210630005153-ara1,46,952,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
3080840609618089727,2271800227472581094,68719486497,7,1469,Kraken210630005153-ara1,142,706,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
