cluster,size,seq,series,begin,end,id,book,author,ch_len
506806278803,2,446,Shamela0000176-ara1.completed,51,1405,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1354
174005,3,446,Shamela0000176-ara1.completed,1096,1451,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,355
506806246041,2,218,Shamela0000176-ara1.completed,389,895,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,506
395137069165,2,37,Shamela0000176-ara1.completed,116,1129,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1013
240518331527,2,430,Shamela0000176-ara1.completed,818,1042,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,224
146028906628,2,430,Shamela0000176-ara1.completed,1240,1635,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,395
34359844472,2,155,Shamela0000176-ara1.completed,570,994,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,424
34359844473,2,155,Shamela0000176-ara1.completed,994,1259,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,265
34359844471,2,155,Shamela0000176-ara1.completed,11,929,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,918
60129675305,2,412,Shamela0000176-ara1.completed,1,311,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,310
51539767846,2,412,Shamela0000176-ara1.completed,311,1539,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1228
128849078875,2,215,Shamela0000176-ara1.completed,1001,1295,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,294
326417667294,2,375,Shamela0000176-ara1.completed,936,1309,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,373
103079384420,2,408,Shamela0000176-ara1.completed,1257,1514,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,257
266288029622,2,424,Shamela0000176-ara1.completed,1196,1542,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,346
214748433105,2,237,Shamela0000176-ara1.completed,1070,1333,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,263
214748433106,2,237,Shamela0000176-ara1.completed,106,253,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,147
429496740612,2,378,Shamela0000176-ara1.completed,287,1181,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,894
163208922541,2,373,Shamela0000176-ara1.completed,917,1593,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,676
283468021389,2,373,Shamela0000176-ara1.completed,410,1269,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,859
128849144191,2,183,Shamela0000176-ara1.completed,1248,1617,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,369
103079217153,2,12,Shamela0000176-ara1.completed,1047,1365,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,318
103079217154,2,12,Shamela0000176-ara1.completed,37,331,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,294
8590082492,2,604,Shamela0000176-ara1.completed,630,1524,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,894
154314,2,604,Shamela0000176-ara1.completed,630,1240,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,610
137439112417,2,452,Shamela0000176-ara1.completed,1015,1444,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,429
292057950548,2,556,Shamela0000176-ara1.completed,525,1234,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,709
369367226786,2,217,Shamela0000176-ara1.completed,469,1543,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1074
128849078874,2,217,Shamela0000176-ara1.completed,910,1420,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,510
360777427966,3,498,Shamela0000176-ara1.completed,1,311,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,310
360777427964,2,498,Shamela0000176-ara1.completed,350,1200,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,850
498216216595,2,372,Shamela0000176-ara1.completed,1,279,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,278
