book,phrase,count
0631SayyidDinAmidiThaclabi.GhayatMaram.JK000324-ara1,All phrases,36
0620IbnQudamaMaqdisi.HikayatMunazara.JK000328-ara1,اخبار,2
0429IbnTahirBaghdadi.FarqBaynaFiraq.JK000334-ara1,اخبار,44
0429IbnTahirBaghdadi.FarqBaynaFiraq.JK000334-ara1,الامرا,1
0429IbnTahirBaghdadi.FarqBaynaFiraq.JK000334-ara1,All phrases,45
0620IbnQudamaMaqdisi.DhammTawil.JK000335-ara1,اخبار,20
0520IbnRushdJadd.RaddCalaManDhahaba.JK000338-ara1,اخبار,10
0333AbuMansurMaturidi.Tawhid.JK000339-ara1,اخبار,50
0333AbuMansurMaturidi.Tawhid.JK000339-ara1,الامرا,11
0333AbuMansurMaturidi.Tawhid.JK000339-ara1,All phrases,61
0456IbnHazm.FisalFiMilal.JK000343-ara1,اخبار,165
0456IbnHazm.FisalFiMilal.JK000343-ara1,الامرا,9
0456IbnHazm.FisalFiMilal.JK000343-ara1,All phrases,174
0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf.JK000347-ara1,اخبار,11
0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf.JK000347-ara1,الامرا,1
0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf.JK000347-ara1,All phrases,12
0728IbnTaymiyya.DarTacarud.JK000362-ara1,اخبار,200
0728IbnTaymiyya.DarTacarud.JK000362-ara1,الامرا,22
0728IbnTaymiyya.DarTacarud.JK000362-ara1,All phrases,222
0842IbnNasirDinDimashqi.RaddWafir.JK000366-ara1.completed,اخبار,2
0842IbnNasirDinDimashqi.RaddWafir.JK000366-ara1.completed,الامرا,4
0842IbnNasirDinDimashqi.RaddWafir.JK000366-ara1.completed,All phrases,6
0728IbnTaymiyya.Safadiyya.JK000368-ara1,اخبار,55
0728IbnTaymiyya.Safadiyya.JK000368-ara1,الامرا,5
0728IbnTaymiyya.Safadiyya.JK000368-ara1,All phrases,60
0749IbnCaliSirajDinBazzaz.AclamCaliyya.JK000369-ara1,اخبار,1
0749IbnCaliSirajDinBazzaz.AclamCaliyya.JK000369-ara1,الامرا,7
0749IbnCaliSirajDinBazzaz.AclamCaliyya.JK000369-ara1,All phrases,8
0728IbnTaymiyya.SarimMaslul.JK000370-ara1,اخبار,15
0728IbnTaymiyya.RaddCalaMantiqiyyin.JK000371-ara1,اخبار,47
0728IbnTaymiyya.RaddCalaMantiqiyyin.JK000371-ara1,الامرا,4
0728IbnTaymiyya.RaddCalaMantiqiyyin.JK000371-ara1,All phrases,51
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,اخبار,19
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,الامرا,1
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,All phrases,20
0728IbnTaymiyya.QacidaFiMahabba.JK000379-ara1,اخبار,1
0728IbnTaymiyya.QacidaFiMahabba.JK000379-ara1,الامرا,3
0728IbnTaymiyya.QacidaFiMahabba.JK000379-ara1,All phrases,4
0728IbnTaymiyya.IkhtiyaratFiqhiyya.JK000380-ara1,اخبار,1
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,اخبار,23
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,الامرا,6
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,All phrases,29
0395IbnMandahMuhammad.Iman.JK000384-ara1,اخبار,6
0395IbnMandahMuhammad.Iman.JK000384-ara1,الامرا,2
0395IbnMandahMuhammad.Iman.JK000384-ara1,All phrases,8
0728IbnTaymiyya.SharhCumdatFiqh.JK000386-ara1,اخبار,27
0728IbnTaymiyya.SharhCumdatFiqh.JK000386-ara1,الامرا,14
0728IbnTaymiyya.SharhCumdatFiqh.JK000386-ara1,All phrases,41
0821Qalqashandi.Maathir.JK000401-ara1,اخبار,21
0821Qalqashandi.Maathir.JK000401-ara1,الامرا,49
0821Qalqashandi.Maathir.JK000401-ara1,All phrases,70
0628IbnCaliSanhaji.AkhbarMuluk.JK000405-ara1,اخبار,8
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1.completed,اخبار,66
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1.completed,الامرا,3
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1.completed,All phrases,69
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1.completed,اخبار,1
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1.completed,الامرا,5
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1.completed,All phrases,6
0927Nucaymi.DarisFiMadaris.JK000417-ara1.mARkdown,اخبار,26
0927Nucaymi.DarisFiMadaris.JK000417-ara1.mARkdown,الامرا,111
0927Nucaymi.DarisFiMadaris.JK000417-ara1.mARkdown,All phrases,137
0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal.JK000428-ara1,اخبار,2
0189MuhammadShaybani.JamicSaghir.JK000433-ara1,اخبار,14
0189MuhammadShaybani.JamicSaghir.JK000433-ara1,الامرا,1
0189MuhammadShaybani.JamicSaghir.JK000433-ara1,All phrases,15
