pos,word,count
15,فعدم,1
15,عنها,1
15,واستدعي,1
15,حديث,1
15,الحسن,1
15,والشيخ,1
15,فروج,1
15,الشام,1
15,محبس,1
15,ذراعا,1
15,دهلي,1
15,ثم,1
15,ووجدت,1
15,عظيمه,1
15,ست,1
15,علي,1
15,البلدان,1
15,الناس,1
15,حتي,1
15,الغلا,1
15,والحشيش,1
15,الاكابر,1
15,وخمسين,1
15,اولها,1
15,ارطال,1
15,الصرع,1
15,صيره,1
15,وفي,1
15,عروضها,1
15,يجلبون,1
15,يوما,1
15,المظفر,1
15,نعمته,1
15,تناقص,1
15,بسبب,1
15,القاد,1
15,بحر,1
15,ناصريه,1
16,الاسكندريه,1
16,ماه,1
16,وبلغ,1
16,ابو,1
16,عليهم,1
16,الوبا,1
16,واكل,1
16,نزل,1
16,الامر,1
16,قبر,1
16,ويموت,1
16,الف,2
16,البلاد,1
16,في,1
16,بعشرين,1
16,وكان,2
16,ثم,1
16,كانوا,1
16,الشيطان,3
16,انجح,1
16,الجامع,1
16,ففرقهم,1
16,حصار,1
16,حلب,1
16,البشر,1
16,ناب,1
16,بالنار,1
16,صرف,1
16,بمايتي,1
16,خرج,1
16,وصول,1
16,البحيره,1
16,الاف,1
16,من,2
16,خمسماه,1
16,المخزن,1
16,قال,1
16,درهم,1
16,اكلت,1
16,حصر,1
16,قاضي,1
16,بالحاله,1
16,حتي,2
16,معتمدات,1
16,وبيع,1
16,الوقيعه,1
16,بنهر,1
16,التدبير,1
16,ممزق,1
16,وخرج,3
16,بدرهمين,1
16,شديده,1
16,كثير,1
16,فبيع,1
16,الناس,2
16,وقبض,1
16,بثلاثه,1
16,ونزل,1
16,والميتات,1
16,وستين,2
16,وفتح,1
16,شيطان,1
16,رغيفا,2
16,الموتي,2
16,فجاه,1
16,يحج,1
16,الخوف,1
16,غازي,1
16,والي,1
16,بن,1
16,ودام,1
16,واخر,1
16,النهوض,1
16,انه,1
16,بالكليه,1
16,الي,3
16,اهل,1
16,الصلح,1
16,علي,3
16,العميد,1
16,وعز,1
16,وبدت,1
16,فمنع,1
16,نفقه,1
16,صاحوا,1
16,الصغار,1
16,بفم,1
16,شخصيه,1
16,اشترا,1
16,وضاقت,1
16,كان,1
16,وكثر,1
16,احمد,1
16,درهما,1
16,وصل,1
16,خبز,1
16,وفيها,1
16,كرين,1
16,صفر,1
16,وقيمته,1
16,اليهم,1
16,ابن,1
16,الشكر,1
16,شيا,1
16,ذلك,1
16,المحله,1
16,كانت,1
17,الي,3
17,وستين,1
17,الكر,1
17,طلحه,1
17,ورخص,1
17,والموت,1
17,الناس,5
17,الروم,1
17,وخرج,1
