date,Distinct count,percent,rank
731,2,0.058,449
765,2,0.058,450
705,2,0.058,451
689,2,0.058,452
759,2,0.058,453
783,2,0.058,454
752,2,0.058,455
779,2,0.058,456
781,2,0.058,457
699,2,0.058,458
375,2,0.058,459
679,2,0.058,460
310,2,0.058,461
528,2,0.058,462
492,2,0.058,463
372,2,0.058,464
788,2,0.058,465
396,2,0.058,466
787,2,0.058,467
459,2,0.058,468
465,2,0.058,469
485,2,0.058,470
621,2,0.058,471
560,2,0.058,472
546,2,0.058,473
667,2,0.058,474
551,2,0.058,475
704,2,0.058,476
439,2,0.058,477
130,2,0.058,478
421,2,0.058,479
525,2,0.058,480
771,2,0.058,481
411,2,0.058,482
580,2,0.058,483
832,2,0.058,484
597,2,0.058,485
727,2,0.058,486
607,2,0.058,487
430,2,0.058,488
767,2,0.058,489
120,2,0.058,490
766,2,0.058,491
568,2,0.058,492
441,2,0.058,493
841,2,0.058,494
701,2,0.058,495
604,2,0.058,496
670,2,0.058,497
342,2,0.058,498
335,2,0.058,499
313,2,0.058,500
541,2,0.058,501
407,2,0.058,502
410,2,0.058,503
452,2,0.058,504
046,2,0.058,505
482,2,0.058,506
319,2,0.058,507
339,2,0.058,508
490,2,0.058,509
614,2,0.058,510
565,2,0.058,511
550,2,0.058,512
509,2,0.058,513
349,2,0.058,514
124,2,0.058,515
610,2,0.058,516
190,2,0.058,517
397,2,0.058,518
348,2,0.058,519
011,2,0.058,520
554,2,0.058,521
261,2,0.058,522
212,2,0.058,523
673,2,0.058,524
578,2,0.058,525
611,2,0.058,526
483,2,0.058,527
222,2,0.058,528
510,2,0.058,529
215,2,0.058,530
156,2,0.058,531
506,2,0.058,532
543,2,0.058,533
328,2,0.058,534
280,2,0.058,535
616,2,0.058,536
248,2,0.058,537
418,2,0.058,538
180,2,0.058,539
298,2,0.058,540
367,2,0.058,541
296,2,0.058,542
288,2,0.058,543
539,2,0.058,544
312,2,0.058,545
270,2,0.058,546
237,2,0.058,547
013,2,0.058,548
198,2,0.058,549
195,2,0.058,550
192,2,0.058,551
181,2,0.058,552
309,2,0.058,553
176,2,0.058,554
104,2,0.058,555
208,2,0.058,556
172,2,0.058,557
277,2,0.058,558
502,2,0.058,559
103,2,0.058,560
534,2,0.058,561
131,2,0.058,562
136,2,0.058,563
152,2,0.058,564
170,2,0.058,565
243,2,0.058,566
804,1,0.029,567
462,1,0.029,568
118,1,0.029,569
376,1,0.029,570
359,1,0.029,571
445,1,0.029,572
414,1,0.029,573
409,1,0.029,574
831,1,0.029,575
805,1,0.029,576
556,1,0.029,577
843,1,0.029,578
757,1,0.029,579
830,1,0.029,580
110,1,0.029,581
188,1,0.029,582
257,1,0.029,583
184,1,0.029,584
438,1,0.029,585
553,1,0.029,586
294,1,0.029,587
175,1,0.029,588
144,1,0.029,589
272,1,0.029,590
370,1,0.029,591
606,1,0.029,592
371,1,0.029,593
503,1,0.029,594
429,1,0.029,595
189,1,0.029,596
231,1,0.029,597
