section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780
104,### || ذكر مدينة الأقصر,144445,144455.0,0,0,0,0,0,0,0,0,0,0
105,### || ذكر البلينا,144465,144520.5,0,0,0,0,0,0,0,0,0,0
106,### || ذكر سمهود,144576,144591.0,0,0,0,0,0,0,0,0,0,0
107,### || ذكر إرجنوس ,144606,144644.5,0,0,0,0,0,0,0,0,0,0
108,### || ذكر أبويط,144683,144699.5,0,0,0,0,0,0,0,0,0,0
109,### || ذكر ملوى,144716,144767.0,0,0,0,0,0,0,0,0,0,0
110,### || ذكر مدينة أنصنا,144818,144964.0,0,0,0,0,0,0,0,0,0,0
111,### || ذكر القيس,145110,145290.0,0,0,0,0,0,0,0,0,0,0
112,### || ذكر دروط بلهاسة,145470,145554.0,0,0,0,0,0,0,0,0,0,0
113,### || ذكر سكر,145638,145703.0,0,0,0,0,0,0,0,0,0,0
114,### || ذكر منية الخصيب,145768,145781.0,0,0,0,0,0,0,0,0,0,0
115,### || ذكر منية الناسك,145794,145842.5,0,0,0,0,0,0,0,0,0,0
116,### || ذكر الجيزة,145891,146296.5,0,0,0,0,0,0,0,0,0,0
117,### ||| [ذكر سجن يوسف عليه السلام],146702,147047.0,0,0,0,0,0,0,0,0,0,0
118,### || ذكر قرية ترسا,147392,147443.5,0,0,0,0,0,0,0,0,0,0
119,### || ذكر منية أندونة,147495,147516.0,0,0,0,0,0,0,0,0,0,0
120,### || ذكر وسيم,147537,147604.5,0,0,0,0,0,0,0,0,0,0
121,### || ذكر منية عقبة,147672,147886.0,0,0,0,0,0,0,0,0,0,0
122,### || ذكر حلوان,148100,148310.0,0,0,0,0,0,0,0,0,0,0
123,### ||| [عبد العزيز بن مروان],148520,148965.5,0,1,0,0,0,0,0,0,0,0
124,### || ذكر مدينة العريش,149411,149687.5,0,0,0,0,0,0,0,0,0,0
125,### || ذكر مدينة الفرماء,149964,150439.0,0,0,0,0,0,0,0,0,0,0
126,### || ذكر مدينة القلزم,150914,151045.5,0,0,0,0,0,0,0,0,0,0
127,### || ذكر التيه,151177,151296.5,0,0,0,0,0,0,0,0,0,0
128,### || ذكر مدينة دمياط,151416,155706.5,0,1,0,0,0,0,0,0,0,0
129,### || ذكر شطا,159997,160145.0,0,0,0,0,0,0,0,0,0,0
130,### || ديبق:,160293,160328.5,0,0,0,0,0,0,0,0,0,0
131,### || النحريرية:,160364,160415.5,0,0,0,0,0,0,0,0,0,0
132,### || جزيرة بني نصر:,160467,160508.0,0,0,0,0,0,0,0,0,0,0
133,### || ذكر الطريق فيما بين مدينة مصر ms0519 ودمشق,160549,160916.0,0,0,0,0,0,0,0,0,0,0
134,### || ذكر مدينة حطين,161283,161327.5,0,0,0,0,0,0,0,0,0,0
135,### || ذكر مدينة الرقة,161372,161421.5,0,0,0,0,0,0,0,0,0,0
136,### || ذكر عين شمس,161471,162566.5,0,0,0,0,0,0,0,0,0,0
137,### || المنصورة,163662,163867.0,0,0,0,0,0,0,0,0,0,0
138,### || العباسة,164072,164170.0,0,0,0,0,0,0,0,0,0,0
139,### || ذكر مدينة قفط «1» بصعيد مصر,164268,164790.5,0,0,0,0,0,0,0,0,0,0
140,### || ذكر مدينة دندرة,165313,165365.5,0,0,0,0,0,0,0,0,0,0
141,### || ذكر الواحات الداخلة,165418,165916.0,0,0,0,0,0,0,0,0,0,0
142,### || ذكر مدينة سنترية ,166414,166583.0,0,0,0,0,0,0,0,0,0,0
143,### || ذكر الواحات الخارجة,166752,166942.0,0,0,0,0,0,0,0,0,0,0
144,### || ذكر مدينة قوص,167132,167345.5,1,0,0,0,0,0,0,0,0,0
145,### || ذكر مدينة أسنا,167559,167582.5,0,0,0,0,0,0,0,0,0,0
146,### || ذكر مدينة أدفو,167606,167650.0,0,0,0,1,0,0,0,0,0,0
147,### || إهناس,167694,167728.5,0,0,0,0,0,0,0,0,0,0
148,### || ذكر ms0542 مدينة البهنسا,167763,168300.5,0,0,0,0,0,0,0,0,0,0
149,### || ذكر مدينة الأشمونين,168838,169004.0,0,0,0,0,0,0,0,0,0,0
150,### || ذكر مدينة إخميم,169170,169551.0,0,0,0,0,0,0,0,0,0,1
151,### || ذكر مدينة العقاب,169932,170390.5,0,0,0,0,0,0,0,0,0,0
152,### || ذكر مدينة الفيوم,170849,172859.0,0,0,0,0,0,0,0,0,0,0
153,### ||| يوسف ms0565 بن يعقوب بن إسحاق بن إبراهيم:,174869,174989.5,0,0,0,0,0,0,0,0,0,0
154,### ||| ذكر ما قيل في الفيوم وخلجانها وضياعها,175110,175900.5,0,0,0,0,0,0,0,0,0,0
