word,count
الضروان,2
خمارتكين,2
والبيض,2
منيع,2
معاش,2
ويغنم,2
روميه,2
والبغال,2
فقتلوه,2
وكنيسه,2
فيجد,2
يعرف,2
باثني,2
يازم,2
تخذ,2
سرايا,2
معهم,2
قرب,2
ويقال,2
لمن,2
المقدس,2
وله,2
اعمال,2
وانضاف,2
البستان,2
يتصدق,2
وازم,2
فلا,2
جهز,2
المنصور,2
بني,2
ويملكها,2
الخفاجي,2
والبصره,2
الممنون,2
الفي,2
ويستفتح,2
سبعين,2
فضه,2
ثوبا,2
وصنع,2
نايب,2
تجاروا,2
اقام,2
البساسيري,2
وصول,2
للاستسقا,2
وافنيت,2
الحمر,2
والخيل,2
بالغلبه,2
خروج,2
وقوله,2
ريح,2
والله,2
دونه,2
محمود,2
مدان,2
وفاه,2
الما,2
رمضان,2
النجوم,2
قالت,2
والروث,2
يخرج,2
وفحش,2
المكوك,2
واشتغالهم,2
بانفسهم,2
وتشتتوا,2
وكاد,2
الخراب,2
يستولي,2
نعمتك,2
واكلها,2
واخر,2
الابواب,2
فاذن,2
يقرا,2
واربعين,2
فكانت,2
ووجدت,2
حديث,2
بالمصري,2
جده,2
فامرهم,2
اردب,2
بالديار,2
يصلي,2
لابيهم,2
فاحتال,2
اسرايل,2
يهودي,2
لحومهم,2
نقره,2
واعمالها,2
دقيق,2
وثلث,2
الماكولات,2
ونهبت,2
سعد,2
ست,2
فرفع,2
الدعا,2
الابنوسي,2
الثغور,2
جعفر,2
الفتن,2
واقام,2
وخمس,2
يحفرون,2
الحفار,2
الكبار,2
ويدفنون,2
والصراخ,2
الاثير,2
وجري,2
وانتهي,2
وجلا,2
واحده,2
ويقول,2
قيمته,2
النخاله,2
القضاه,2
والظاهر,2
ابنا,2
الاجتماعيه,2
عدن,2
يدخل,2
قاضي,2
بالجزيره,2
العلوي,2
وبيعت,2
الاولاد,2
بالاستسقا,2
فيما,2
باربعين,2
بيعه,2
واليمن,2
فانه,2
والجهاد,2
وعلم,2
فلاهل,2
امد,2
فنعوذ,2
الينا,2
الكامل,2
يتوجهوا,2
ومع,2
خير,2
ايسون,2
مبلسون,2
بقي,2
وتفرقوا,2
ممزق,2
التمر,2
الخوف,2
التقاوي,2
وحمله,2
والزيت,2
يجارون,2
الكريم,2
منصور,2
وتفرق,2
معين,2
الحرب,2
البغدادي,2
ونحف,2
نسا,2
باهلها,2
وتحققت,2
قاره,2
واسوها,2
العقوبات,2
اصعب,2
واموالهم,2
وانما,2
المعروف,2
جريج,2
الميتات,2
الاسواق,2
رايه,2
مجاهد,2
قاله,2
الرجعه,2
الحاج,2
الخميس,2
تاسع,2
بارض,2
اسنت,2
والخبز,2
لبابه,2
يد,2
كتاب,2
فرعون,2
يغار,2
قلت,2
انفسهم,2
امن,2
واربع,2
والخزي,2
باللعن,2
سليمان,2
وقعوا,2
وعشره,2
تخلفوا,2
بالغزو,2
كادوا,2
الجباي,2
ولما,2
مثل,2
عروضها,2
سرارهم,2
مدلج,2
الانفس,2
الواحد,2
نعير,2
حالهم,2
قرقماس,2
اشهر,2
والحنطه,2
رحمه,2
عما,2
المسلمين,2
مده,2
الوهاب,2
ام,2
الايه,2
بالقاهره,2
واكثر,2
الصدقات,2
استارهم,2
الخير,2
اعقبه,2
بحلب,2
الحبوب,2
الغزو,2
ودخل,2
نصر,2
كاد,2
الانصاري,2
طلحه,2
والتليس,2
واكلوا,2
وثلثين,2
فانتقم,2
عنهم,2
فيهم,2
وجل,2
فاقام,2
رطلين,2
فمات,2
دخل,2
المرتضي,2
ثلاثماه,2
امر,2
وولي,2
اواخر,2
الاستسقا,2
نزول,2
فحضر,2
مجلس,2
يساوي,2
يدفن,2
السميد,2
عسكر,2
ويموت,2
جوعا,2
الكور,2
الشداد,2
حدث,2
بقيراطين,2
اصحابه,2
يركبه,2
الاخره,2
ابنه,2
فانهزم,2
والموت,2
الموصل,2
توزون,2
سفيان,2
يحج,2
الاعمال,2
القاد,2
ورغيف,2
البلد,2
الرجل,2
طرف,2
رايتني,2
اضعاف,2
الليل,2
ولده,2
الامراض,2
ارطال,2
البكا,2
البقر,2
ثالث,2
يقدر,2
الجامع,2
رجع,2
الحيوان,2
وقع,2
وقبض,2
شعبان,2
متواتره,2
يده,2
لقمه,2
الخليفه,2
والشيخ,2
الفلاحون,2
ستماه,2
فوضعتها,2
هي,2
السال,2
وهرب,2
فقالت,2
احد,2
اتصدق,2
التسعير,2
الخيل,2
الوجه,2
استادار,2
التكذيب,2
ونزل,2
داري,2
اربعين,2
مقيم,2
العسر,2
المسلمون,2
تحويلا,2
وجا,2
الحميد,2
بالبلاد,2
زياده,2
لكي,2
وغيرهما,2
مسعود,2
نزل,2
لحقهم,2
النصاري,2
يقول,2
معز,2
الكلبي,2
وتاييد,2
خليفه,2
فنا,2
دليل,2
كثيرا,2
بكسر,2
بفضل,2
العباس,2
صوري,2
اليسر,2
المساكين,2
ترك,2
ولحق,2
الغله,2
تسلمت,2
بفرسخين,2
ذكره,2
شيخنا,2
عاما,2
عام,2
وساتر,2
عذاب,2
فغفار,2
اولك,2
وانت,2
اخرها,2
وصلت,2
الغربي,2
فبيعت,2
الوسيله,2
يبتغون,2
يدعون,2
الجانب,2
يذكرون,2
بظاهر,2
يمدده,2
فقل,2
سل,2
غازي,2
سيف,2
بالمدينه,2
ايامه,2
يشكو,2
نيلنا,2
بقصيده,2
تزوج,2
فانجلي,2
دين,2
وختم,2
وغيرهم,2
ولي,2
انحطاط,2
الحال,2
الاشرف,2
دوله,2
تفسير,2
الميد,2
موت,2
مرض,2
الطرق,2
الحسبه,2
وكتب,2
ابتلينا,2
الصحبه,2
اوله,2
اقول,2
الشده,2
البوادي,2
الجواري,2
الحجاز,2
جاتهم,2
لك,2
والعراق,2
فاوحي,2
ص,2
الثالثه,2
والجزيره,2
دلف,2
الحسنه,2
وقصد,2
شي,2
توقف,2
بصقليه,1
اتلفه,1
دجاجه,1
فرتب,1
ولحقه,1
والاسمان,1
بالخروج,1
فروج,1
بالكليه,1
ونقض,1
الفرصه,1
قراجا,1
واستدعي,1
هوا,1
للخوف,1
يحمد,1
العمران,1
لقله,1
تلاشت,1
فاغتنم,1
الموتان,1
عرق,1
ادراكه,1
رجار,1
يوصل,1
وفشت,1
للتمره,1
وورد,1
غسل,1
الحشيش,1
قيمه,1
بالحجاز,1
وجب,1
تعريفها,1
وصح,1
بيعها,1
وبمكه,1
المراسله,1
المستعلي,1
فراغهم,1
بابا,1
الحاكه,1
وجاز,1
تكون,1
ففتح,1
عوضا,1
اتابك,1
بان,1
الامور,1
وجميع,1
العامل,1
مجاورا,1
فاجلي,1
فانصرف,1
طرسوس,1
كرا,1
المفهم,1
كشاف,1
بحديث,1
واستجيب,1
باهل,1
فاجدبوا,1
محاصر,1
سبعا,1
اولاد,1
اقوات,1
تبق,1
وانتقل,1
الرطبه,1
ووقعت,1
الحيله,1
بينوه,1
الجنس,1
العجمي,1
نجيب,1
يحيا,1
واللبن,1
يذوق,1
وحلف,1
اتي,1
الجرجراي,1
طاعون,1
بمثله,1
العهد,1
اعقب,1
العميد,1
محسن,1
بدوس,1
وقفز,1
وعدموا,1
بينه,1
معضاد,1
الملح,1
بسبعين,1
الكبير,1
فضجر,1
حولها,1
ياخذه,1
واجده,1
وانهوا,1
ماتين,1
الحضره,1
المطهره,1
وضاقت,1
امير,1
الشريف,1
فعدم,1
الممنين,1
المتقرره,1
الظاهر,1
لاعزاز,1
فرسم,1
لناب,1
قرر,1
الظهر,1
فاخذها,1
العواد,1
لجميع,1
وتعدوا,1
وخلا,1
الشديده,1
وحده,1
وعجاف,1
يعطي,1
العجاب,1
العجف,1
العجب,1
وري,1
واشتهر,1
القبور,1
دهلي,1
بحساب,1
المحطه,1
اغزي,1
صقليه,1
فالتقي,1
بمراكبهم,1
مركبا,1
فدارت,1
بينهم,1
حفر,1
وتمزق,1
يرجع,1
نيسان,1
شخصيه,1
المياه,1
المثرات,1
خلالها,1
نتعرف,1
فيحصدون,1
زمن,1
اذار,1
المجتمع,1
القوم,1
موسم,1
صوره,1
المقتدر,1
وصار,1
الصيف,1
تكثر,1
اصابتهم,1
الاثمان,1
بارخص,1
الاطيان,1
وابتيعت,1
موجزه,1
حرب,1
ادم,1
وفشا,1
وسموم,1
الاول,1
ارضها,1
بانت,1
صاحوا,1
الجمعه,1
الدجله,1
حرقت,1
بفم,1
معدلا,1
تتساقط,1
حر,1
والادميين,1
يخلص,1
اناس,1
اطراف,1
الصغار,1
مشويه,1
واشتري,1
ابدا,1
خلصت,1
لمعز,1
بالبصره,1
الغايه,1
جانم,1
الفرق,1
العظيم,1
بحيث,1
وحكي,1
الهزال,1
متواليه,1
اسلم,1
دجله,1
وزادت,1
فاخرج,1
بسيل,1
الثغر,1
بنو,1
النون,1
والضعف,1
فاوقع,1
مرقوا,1
الزيدي,1
الطاعه,1
واكثروا,1
فشكي,1
احيحه,1
كافل,1
وتكوينه,1
يخفي,1
تنحسر,1
هرب,1
غلمانه,1
تتنكر,1
خالصه,1
غلاما,1
تركيا,1
فلاح,1
ولمولاي,1
المملوك,1
حامد,1
محبس,1
وابا,1
عزره,1
الكناس,1
وجعل,1
الديوان,1
واحرق,1
القشيري,1
القاسم,1
الاستاذ,1
سمع,1
صلبان,1
بنيسابور,1
وبدت,1
وحلب,1
نحتاج,1
القرامطه,1
فعم,1
جهه,1
حواله,1
وسرعه,1
التوسط,1
تكفينهم,1
وكسبهم,1
الزرع,1
صيدا,1
ومواراتهم,1
اسامه,1
صاحبها,1
وارجف,1
بيروت,1
يحمل,1
الافرنج,1
لمولاه,1
بمسير,1
شقيق,1
فانتبه,1
نحن,1
نصف,1
توت,1
للبيه,1
برنابا,1
فتواقع,1
جا,1
وكلما,1
الخمسه,1
فهلا,1
عندما,1
وشال,1
ناين,1
ولوقش,1
وشمعون,1
انبيا,1
يسكن,1
انطاكيه,1
الفصل,1
عندي,1
نبي,1
عندك,1
هل,1
ا,1
تمطر,1
ومكثت,1
هلك,1
اشترا,1
قبض,1
الديلمي,1
الشرطه,1
السيره,1
سديد,1
يوف,1
الشاذياخي,1
الشاه,1
الفتوح,1
فمنع,1
التظاهر,1
وابنه,1
بزرع,1
بالغنا,1
ركوب,1
يستعد,1
فاغتبط,1
للتفرج,1
ويزرع,1
حقولهم,1
حشوان,1
تشرين,1
مقاطعه,1
واستقرت,1
وجات,1
تناقص,1
الاولي,1
فباع,1
وزياده,1
والكيل,1
الوزن,1
تطفيف,1
والحيف,1
لتاكلها,1
فمها,1
نسب,1
الطقطقي,1
المثل,1
يضرب,1
بالاملاك,1
بالاعراض,1
بالاموال,1
النقيب,1
بالتحكم,1
فاجري,1
فاستاذن,1
ليقرا,1
توصل,1
يهوديا,1
الهرب,1
والهرب,1
البحار,1
وسواحل,1
باطراف,1
فعليكم,1
الترك,1
ملكتكم,1
العجم,1
عبر,1
نهي,1
دفن,1
اموالهم,1
قذف,1
فقد,1
والخوف,1
يختبرون,1
معناه,1
الزجاج,1
وخبث,1
نياتهم,1
سو,1
يظهره,1
تهتك,1
ينزل,1
بالمرض,1
يجعل,1
فيذهب,1
الاحتكار,1
ويفسد,1
وينتن,1
يتسوس,1
بيوتهم,1
يصلوا,1
وقبضوه,1
اشتروه,1
ناحيه,1
يجلب,1
الضاقه,1
تنفرج,1
ناصريه,1
وماتي,1
ثاني,1
وملك,1
الملوك,1
نفاق,1
المراكب,1
وذبحوا,1
ملتهم,1
يعتادونها,1
بقربانهم,1
ويتقربون,1
يستسقون,1
فجعلوا,1
ملكهم,1
الرعيه,1
فشكت,1
ونجا,1
حراريق,1
المحله,1
بحر,1
الحجه,1
الشقاق,1
اخذوا,1
محصورين,1
وصاروا,1
احتاجوا,1
المياسير,1
وافقر,1
يحيي,1
وعبد,1
ودي,1
الجلب,1
لانقطاع,1
تيميه,1
عمره,1
الطوفي,1
انواع,1
والغنم,1
والحمير,1
وساله,1
بالزورا,1
الظما,1
بيتي,1
الجور,1
بسنابك,1
وكرمان,1
وصاغان,1
وبذشجان,1
الصين,1
وتبت,1
تبت,1
والهند,1
الهند,1
والسند,1
الغرق,1
وبلخ,1
الحبشه,1
ومكه,1
قمر,1
حمارا,1
لتاكل,1
مضيت,1
الغداه,1
صليت,1
وطلبوا,1
فشكوا,1
عليهما,1
داود,1
ياذن,1
قلوبهم,1
الرعب,1
وسراياه,1
اليقظان,1
ببضاعه,1
وجنا,1
والبلا,1
مواشيهم,1
هلاك,1
نالهم,1
شكوا,1
متحسرون,1
وشاعر,1
ع,1
وكفلز,1
عنبري,1
صحابي,1
ثعلبه,1
وفلز,1
ذبحوا,1
وككتف,1
وتلبا,1
تبا,1
الخسار,1
التلب,1
غيره,1
واتغبه,1
كفرح,1
تغب,1
والعيب,1
استتر,1
برذون,1
الدواب,1
يبق,1
مزجاه,1
رديه,1
بوكس,1
قليله,1
ثمره,1
وهذه,1
والرجا,1
المطر,1
وحبس,1
بالقحط,1
ونقمتك,1
عذابك,1
وخافين,1
وكريم,1
افضالك,1
ومملين,1
فضل,1
وراجين,1
خرجنا,1
الضمير,1
رحمتك,1
راغبين,1
بخوف,1
الانتقال,1
فقحطوا,1
حين,1
اللفظ,1
بمطلق,1
المعتبر,1
لاهل,1
خطاب,1
رزقكم,1
فكلوا,1
دوابهم,1
انذر,1
فكذبوه,1
بهتك,1
واصل,1
ويستغيثون,1
والاولاد,1
العظام,1
واذا,1
الضحاك,1
الثمار,1
القطر,1
ومنع,1
والجلا,1
بالبلا,1
مقاتل,1
خبث,1
يظهر,1
الطوسي,1
اعذر,1
حكاه,1
الماوردي,1
راجع,1
للبغدادي,1
الادب,1
خزانه,1
انظر,1
ويتوبوا,1
ويتذللوا,1
ويخضعوا,1
بالبليات,1
م,1
التبيان,1
فاخذهم,1
الجار,1
رفع,1
الصوت,1
بالتضرع,1
تطرف,1
عين,1
وفيكم,1
ننصرف,1
والجنود,1
اتيناكم,1
والفقير,1
والبس,1
يعطونهم,1
كي,1
الصباح,1
وقت,1
مصبحين,1
ثمرتها,1
يقطعون,1
