section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780,start,end
258,### ||| السور الثاني:,268129,268178.5,0,0,0,0,0,0,0,0,0,0,220000,280000
266,### ||| باب الشعرية,270337,270349.0,0,0,0,0,0,0,0,0,0,0,220000,280000
267,### ||| باب سعادة,270361,270435.5,0,0,0,0,0,0,0,0,0,0,220000,280000
268,### ||| الباب المحروق,270510,270693.5,0,0,0,0,0,0,0,0,0,0,220000,280000
269,### ||| باب البرقية,270877,270881.5,0,0,0,0,0,0,0,0,0,0,220000,280000
270,### || ذكر قصور الخلفاء ومناظرهم والإلماع بطرف من مآثرهم وما صارت إليه أحوالها من بعدهم,270886,270981.5,0,0,0,0,0,0,0,0,0,0,220000,280000
265,### ||| باب القنطرة,270301,270319.0,0,0,0,0,0,0,0,0,0,0,220000,280000
542,### || درب أمير حسين:,374613,374644.5,0,0,0,0,0,0,0,0,0,0,350000,400000
543,### || درب القماحين:,374676,374692.5,0,0,0,0,0,0,0,0,0,0,350000,400000
544,### || درب العسل:,374709,374736.0,0,0,0,0,0,0,0,0,0,0,350000,400000
545,### || درب الجباسة:,374763,374778.0,0,0,0,0,0,0,0,0,0,0,350000,400000
546,### || درب ابن عبد الظاهر:,374793,374816.0,0,0,0,0,0,0,0,0,0,0,350000,400000
547,### || درب الخازن:,374839,374887.5,0,0,0,0,0,0,0,0,0,0,350000,400000
548,### || درب الحبيشي:,374936,374964.0,0,0,0,0,0,0,0,0,0,0,350000,400000
552,### ||| أرقطاي الأمير سيف الدين الحاج أرقطاي,375140,375309.0,0,0,0,0,0,0,0,0,0,0,350000,400000
550,### || درب دغمش:,375006,375027.5,0,0,0,0,0,0,0,0,0,0,350000,400000
551,### || درب أرقطاي:,375049,375094.5,0,0,0,0,0,0,0,0,0,0,350000,400000
553,### || درب البنادين: بحارة الروم،,375478,375499.5,0,0,0,0,0,0,0,0,0,0,350000,400000
554,### || درب المكرم: بحارة الروم,375521,375531.5,0,0,0,0,0,0,0,0,0,0,350000,400000
555,### || درب الضيف: بحارة الديلم،,375542,375568.0,0,0,0,0,0,0,0,0,0,0,350000,400000
556,### || درب الرصاصي: بحارة الديلم،,375594,375616.5,0,0,0,0,0,0,0,0,0,0,350000,400000
549,### || درب بقولا الصفار: بحارة الروم،,374992,374999.0,0,0,0,0,0,0,0,0,0,0,350000,400000
541,### || درب المنصوري:,374562,374587.5,0,0,0,0,0,0,0,0,0,0,350000,400000
512,### || خط السبع خوخ العتيق «1» :,371290,371314.5,0,0,0,0,0,0,0,0,0,0,350000,400000
539,### || درب خرابة صالح:,374483,374508.5,0,0,0,0,0,0,0,0,0,0,350000,400000
557,### || درب ابن المجاور:,375639,375690.5,0,0,0,0,0,0,0,0,0,0,350000,400000
526,### || درب الأسواني:,372591,372600.5,0,0,0,0,0,0,0,0,0,0,350000,400000
527,### || درب شمس الدولة:,372610,372637.0,0,0,0,0,0,0,0,0,0,0,350000,400000
528,### ||| توران شاه,372664,372947.0,0,0,0,0,0,0,0,0,0,0,350000,400000
529,### || درب ملوخيا:,373230,373253.0,0,0,0,0,0,0,0,0,0,0,350000,400000
530,### || درب السلسلة:,373276,373296.5,0,0,0,0,0,0,0,0,0,0,350000,400000
540,### || درب الحسام:,374534,374548.0,0,0,0,0,0,0,0,0,0,0,350000,400000
531,### || درب الشمسي:,373317,373366.0,0,0,0,0,0,0,0,0,0,0,350000,400000
533,### ||| (الدمر أمير جان دار «2» سيف الدين),373502,373882.5,0,0,0,0,0,0,0,0,0,0,350000,400000
534,### || درب قيطون:,374263,374276.0,0,0,0,0,0,0,0,0,0,0,350000,400000
535,### || درب السراج:,374289,374313.5,0,0,0,0,0,0,0,0,0,0,350000,400000
