date,freq,25-y
666,7,675
741,7,750
763,7,775
307,7,325
626,7,650
764,7,775
760,7,775
647,7,650
584,7,600
777,7,800
700,7,725
801,8,825
765,8,775
6,8,25
10,8,25
648,8,650
37,8,50
813,8,825
366,8,375
791,9,800
681,9,700
500,9,525
4,10,25
50,10,50
814,10,825
767,17,775
300,18,325
000,0,875
