,cluster,begin,end,date,book,label,colour
72,111669175787,1164492,1164917,626,0626YaqutHamawi.MucjamBuldan,ayyubid,red
73,249108157971,458098,459661,487,0487AbuCubaydBakri.MasalikWaMamalik,fatimid,green
74,111669313119,458076,458296,626,0626YaqutHamawi.MucjamBuldan,ayyubid,red
75,249108157973,458076,459010,346,0346Mascudi.AkhbarZaman,pre-fatimid,orange
76,249108157972,458550,459629,487,0487AbuCubaydBakri.MasalikWaMamalik,fatimid,green
77,360777360190,1203109,1203639,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
78,68719653696,1204196,1204553,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
79,146028922325,1203644,1203953,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
80,34359929872,1813489,1813838,845,0845Maqrizi.ItticazHunafa,mamluk,blue
81,223338359293,470345,470622,597,0597IbnJawzi.Muntazam,ayyubid,red
82,146028936717,470384,470703,300,0300IbnKhurdadhbih.MasalikWaMamalik,pre-fatimid,orange
83,523986036787,471315,471588,629,0629CabdLatifBaghdadi.IfadaWaIctibar,ayyubid,red
84,77309609564,470914,471276,629,0629CabdLatifBaghdadi.IfadaWaIctibar,ayyubid,red
85,146028979368,1704232,1704530,821,0821Qalqashandi.SubhAcsha,mamluk,blue
86,38268,3791412,3791696,458,0458IbnSidaMursi.MuhkamWaMuhit,fatimid,green
87,214748560092,2784773,2785534,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
88,214748560088,2785134,2785519,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
89,214748560087,2784243,2784794,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
90,214748560091,2784605,2784763,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
91,283467850633,3001736,3001894,279,0279Baladhuri.AnsabAshraf,pre-fatimid,orange
92,326417627874,3001894,3002257,279,0279Baladhuri.AnsabAshraf,pre-fatimid,orange
93,326417627875,3001609,3001809,762,0762MughultayIbnQilij.IsharaIlaSira,mamluk,blue
94,51539690103,3000957,3001384,677,0677IbnMuyassar.AkhbarMisr,mamluk,blue
95,386547065392,3417985,3418444,845,0845Maqrizi.Suluk,mamluk,blue
96,137439013059,3418364,3418476,726,0726Yunini.DhaylMiratZaman,mamluk,blue
97,438086715743,3544781,3544951,355,0355MuhammadKindi.WulatMisr,pre-fatimid,orange
98,438086744366,3544395,3544595,420,0420Musabbihi.AkhbarMisr,fatimid,green
99,309237789144,3544595,3545112,420,0420Musabbihi.AkhbarMisr,fatimid,green
100,120259259178,828508,828754,783,0783IbnHadida.MisbahMudi,mamluk,blue
101,25769832519,829092,829908,597,0597CimadDinKatibIsfahani.TarikhDawlatAlSaljuq,ayyubid,red
102,240518331527,829983,830185,845,0845Maqrizi.ItticazHunafa,mamluk,blue
103,42949674028,828508,829043,355,0355MuhammadKindi.FadailMisr,pre-fatimid,orange
