,pos,date,label,colour
579,975736,0,,
580,975781,0,,
581,976318,0,,
582,976482,585,ayyubid,red
583,976969,683,mamluk,blue
584,977013,85,first-century,saddlebrown
585,977642,715,mamluk,blue
586,977797,728,mamluk,blue
587,981359,0,,
588,981915,0,,
589,982191,0,,
590,982313,0,,
591,982582,600,ayyubid,red
592,982684,0,,
593,982778,0,,
594,982917,40,first-century,saddlebrown
595,983530,700,mamluk,blue
596,983712,90,first-century,saddlebrown
597,983719,90,first-century,saddlebrown
598,983791,0,,
599,983889,0,,
600,984217,9,first-century,saddlebrown
601,984449,308,pre-fatimid,orange
602,984505,100,,
603,984876,388,fatimid,green
604,984999,0,,
605,985041,0,,
606,985120,26,first-century,saddlebrown
607,985187,10,first-century,saddlebrown
608,985315,100,,
609,985724,0,,
610,986005,0,,
611,986426,633,ayyubid,red
612,986504,0,,
613,986550,0,,
614,987396,0,,
615,987449,0,,
616,987811,0,,
617,987912,4,first-century,saddlebrown
618,988286,0,,
619,988390,0,,
620,988501,0,,
621,988535,0,,
622,988987,633,ayyubid,red
623,989200,600,ayyubid,red
624,989235,0,,
625,989290,0,,
626,989337,600,ayyubid,red
627,989396,0,,
628,989993,300,pre-fatimid,orange
629,990042,0,,
630,990736,60,first-century,saddlebrown
631,990971,0,,
632,991025,0,,
633,991173,0,,
634,991478,0,,
635,996088,0,,
636,996322,0,,
637,996397,0,,
638,996524,0,,
639,996608,0,,
640,996753,0,,
641,996801,0,,
642,996897,0,,
643,996979,0,,
644,997371,0,,
645,997474,0,,
646,997600,0,,
647,1001572,0,,
648,1003742,0,,
649,1003851,0,,
650,1004191,600,ayyubid,red
651,1004722,300,pre-fatimid,orange
652,1004828,0,,
653,1004963,0,,
654,1006321,500,fatimid,green
655,1006438,0,,
656,1006672,0,,
657,1008562,0,,
658,1008857,0,,
659,1008980,0,,
660,1009342,0,,
661,1010059,0,,
662,1012816,0,,
663,1013998,0,,
664,1015243,0,,
665,1015720,400,fatimid,green
666,1015727,400,fatimid,green
667,1015734,400,fatimid,green
668,1015839,1,first-century,saddlebrown
669,1016021,0,,
670,1016081,10,first-century,saddlebrown
671,1016272,0,,
672,1016787,900,,
673,1017949,100,,
674,1018071,600,ayyubid,red
675,1018335,790,mamluk,blue
676,1018442,1,first-century,saddlebrown
677,1018874,0,,
678,1018961,0,,
679,1019228,418,fatimid,green
680,1019295,0,,
681,1020547,0,,
682,1020668,17,first-century,saddlebrown
683,1020861,0,,
684,1021263,0,,
685,1021351,0,,
686,1021747,0,,
687,1021829,300,pre-fatimid,orange
688,1021941,0,,
689,1022053,0,,
690,1022118,0,,
691,1022165,0,,
692,1022234,300,pre-fatimid,orange
693,1022325,0,,
694,1022604,300,pre-fatimid,orange
695,1022689,0,,
696,1022751,0,,
697,1022840,0,,
698,1023049,0,,
699,1023197,0,,
700,1023413,0,,
701,1023916,0,,
702,1024499,70,first-century,saddlebrown
703,1024667,0,,
704,1026729,595,ayyubid,red
705,1026982,19,first-century,saddlebrown
706,1027418,0,,
707,1028518,300,pre-fatimid,orange
708,1028568,0,,
709,1028619,0,,
710,1028889,4,first-century,saddlebrown
711,1028967,300,pre-fatimid,orange
712,1029074,0,,
713,1029198,0,,
714,1030451,0,,
715,1030856,0,,
716,1031464,0,,
717,1032980,0,,
718,1034221,378,fatimid,green
719,1035120,0,,
720,1035914,0,,
721,1036301,0,,
722,1038448,330,pre-fatimid,orange
723,1039146,367,fatimid,green
724,1039314,388,fatimid,green
725,1039610,401,fatimid,green
726,1039747,415,fatimid,green
727,1040320,517,fatimid,green
728,1045117,0,,
729,1046155,0,,
730,1046524,381,fatimid,green
731,1046685,382,fatimid,green
732,1046797,402,fatimid,green
733,1047096,0,,
734,1047613,0,,
735,1048301,0,,
736,1049411,0,,
737,1049772,0,,
738,1050556,20,first-century,saddlebrown
739,1050900,0,,
740,1051100,363,fatimid,green
741,1051246,64,first-century,saddlebrown
742,1051612,517,fatimid,green
743,1052896,584,ayyubid,red
744,1053783,592,ayyubid,red
745,1055249,0,,
746,1058505,0,,
747,1062611,0,,
748,1065018,0,,
749,1066616,3,first-century,saddlebrown
750,1068236,0,,
751,1069056,0,,
752,1069187,0,,
753,1069527,0,,
754,1069587,0,,
755,1069869,281,pre-fatimid,orange
756,1070013,282,pre-fatimid,orange
757,1070214,282,pre-fatimid,orange
758,1071579,281,pre-fatimid,orange
759,1071886,0,,
760,1071940,0,,
761,1072122,0,,
762,1072949,282,pre-fatimid,orange
763,1073027,0,,
764,1073169,0,,
765,1073240,282,pre-fatimid,orange
766,1073636,0,,
767,1073762,0,,
768,1074011,0,,
769,1074243,281,pre-fatimid,orange
770,1075019,0,,
771,1077497,265,pre-fatimid,orange
772,1077755,243,pre-fatimid,orange
773,1077994,0,,
774,1078539,0,,
775,1078593,300,pre-fatimid,orange
776,1078735,0,,
777,1078917,0,,
778,1078955,0,,
779,1079049,300,pre-fatimid,orange
780,1079108,300,pre-fatimid,orange
781,1079325,241,pre-fatimid,orange
782,1079423,0,,
783,1079507,10,first-century,saddlebrown
784,1079579,242,pre-fatimid,orange
785,1079674,208,pre-fatimid,orange
786,1079781,0,,
787,1079883,241,pre-fatimid,orange
788,1079924,242,pre-fatimid,orange
789,1080024,241,pre-fatimid,orange
790,1080094,242,pre-fatimid,orange
791,1080150,0,,
792,1080198,0,,
793,1080577,0,,
794,1080767,276,pre-fatimid,orange
795,1080935,276,pre-fatimid,orange
796,1080995,277,pre-fatimid,orange
797,1081043,276,pre-fatimid,orange
798,1082073,78,first-century,saddlebrown
799,1082181,0,,
800,1082245,0,,
801,1082287,275,pre-fatimid,orange
802,1082333,307,pre-fatimid,orange
803,1082398,308,pre-fatimid,orange
804,1082548,241,pre-fatimid,orange
805,1082894,0,,
806,1083025,0,,
807,1083264,499,fatimid,green
808,1083313,97,first-century,saddlebrown
809,1083382,501,fatimid,green
810,1083461,0,,
811,1083514,567,,
812,1083877,305,pre-fatimid,orange
813,1084357,50,first-century,saddlebrown
814,1085866,0,,
815,1085967,0,,
816,1086085,0,,
817,1086140,0,,
818,1086230,0,,
819,1086454,0,,
820,1086506,0,,
821,1086655,0,,
822,1086750,0,,
823,1086802,0,,
824,1086882,274,pre-fatimid,orange
825,1086926,275,pre-fatimid,orange
826,1087092,277,pre-fatimid,orange
827,1087132,78,first-century,saddlebrown
828,1087261,0,,
829,1087301,275,pre-fatimid,orange
830,1087359,307,pre-fatimid,orange
831,1087525,0,,
832,1087564,308,pre-fatimid,orange
833,1088453,0,,
834,1091452,0,,
835,1092118,0,,
836,1092351,0,,
837,1092796,0,,
838,1093299,0,,
839,1093665,0,,
840,1093908,0,,
841,1093981,0,,
842,1094183,0,,
843,1094356,0,,
844,1094626,0,,
845,1094809,350,pre-fatimid,orange
846,1094911,0,,
847,1095274,350,pre-fatimid,orange
848,1095823,501,fatimid,green
849,1095874,0,,
850,1098837,0,,
851,1098948,0,,
852,1099631,0,,
853,1099685,0,,
854,1099810,0,,
855,1099907,0,,
856,1099963,0,,
857,1100076,0,,
858,1100306,0,,
859,1100393,0,,
860,1100688,0,,
861,1100786,0,,
862,1100830,0,,
863,1101101,501,fatimid,green
864,1101183,501,fatimid,green
865,1101307,0,,
866,1101383,0,,
867,1101425,0,,
868,1101793,0,,
869,1101881,0,,
870,1101943,501,fatimid,green
871,1102000,502,fatimid,green
872,1102079,501,fatimid,green
873,1102433,499,fatimid,green
874,1102777,534,fatimid,green
875,1102896,499,fatimid,green
876,1103009,1,first-century,saddlebrown
877,1103075,0,,
878,1103129,499,fatimid,green
879,1103193,501,fatimid,green
880,1103650,501,fatimid,green
881,1103708,567,,
882,1103783,0,,
883,1103890,7,first-century,saddlebrown
884,1103997,0,,
885,1104060,99,first-century,saddlebrown
886,1104105,501,fatimid,green
887,1104179,0,,
888,1104247,33,first-century,saddlebrown
889,1104405,0,,
890,1104996,0,,
891,1105114,0,,
892,1105176,0,,
893,1105256,567,,
894,1105942,567,,
895,1106061,0,,
896,1106417,0,,
897,1106852,0,,
898,1107041,0,,
899,1109594,0,,
900,1112625,0,,
901,1113166,0,,
902,1113207,0,,
903,1113532,0,,
904,1113668,0,,
905,1113713,9,first-century,saddlebrown
906,1113764,0,,
907,1113869,10,first-century,saddlebrown
908,1115260,0,,
909,1115439,0,,
910,1116241,0,,
911,1116783,0,,
912,1117089,0,,
913,1117287,0,,
914,1117518,0,,
915,1117733,2,first-century,saddlebrown
916,1117863,0,,
917,1118104,0,,
918,1118151,0,,
919,1118227,0,,
920,1118320,10,first-century,saddlebrown
921,1118409,300,pre-fatimid,orange
922,1118597,0,,
923,1118798,0,,
924,1119354,30,first-century,saddlebrown
925,1119859,0,,
926,1119939,0,,
927,1119978,0,,
928,1122601,820,mamluk,blue
929,1124086,600,ayyubid,red
930,1129612,146,pre-fatimid,orange
931,1129831,20,first-century,saddlebrown
932,1129873,16,first-century,saddlebrown
933,1129925,21,first-century,saddlebrown
934,1153297,20,first-century,saddlebrown
935,1153381,25,first-century,saddlebrown
936,1153466,17,first-century,saddlebrown
937,1164102,21,first-century,saddlebrown
938,1168361,53,first-century,saddlebrown
939,1172878,0,,
940,1172933,20,first-century,saddlebrown
941,1173007,103,pre-fatimid,orange
942,1173510,19,first-century,saddlebrown
943,1173603,20,first-century,saddlebrown
944,1173656,357,,
945,1173726,19,first-century,saddlebrown
946,1173841,0,,
947,1173961,357,,
948,1174082,0,,
949,1174157,20,first-century,saddlebrown
950,1174345,21,first-century,saddlebrown
951,1174410,22,first-century,saddlebrown
952,1174627,23,first-century,saddlebrown
953,1175219,24,first-century,saddlebrown
954,1175429,25,first-century,saddlebrown
955,1175611,27,first-century,saddlebrown
956,1175689,31,first-century,saddlebrown
957,1175735,34,first-century,saddlebrown
958,1176091,35,first-century,saddlebrown
959,1176197,35,first-century,saddlebrown
960,1177140,36,first-century,saddlebrown
961,1177570,36,first-century,saddlebrown
962,1177763,37,first-century,saddlebrown
963,1178365,37,first-century,saddlebrown
964,1178672,37,first-century,saddlebrown
965,1179011,38,first-century,saddlebrown
966,1179185,38,first-century,saddlebrown
967,1179482,40,first-century,saddlebrown
968,1179897,40,first-century,saddlebrown
969,1179965,41,first-century,saddlebrown
970,1180095,43,first-century,saddlebrown
971,1180671,43,first-century,saddlebrown
972,1181363,44,first-century,saddlebrown
973,1181915,47,first-century,saddlebrown
974,1182138,53,first-century,saddlebrown
975,1182349,60,first-century,saddlebrown
976,1182658,61,first-century,saddlebrown
977,1182903,62,first-century,saddlebrown
978,1182952,0,,
979,1183103,62,first-century,saddlebrown
980,1183591,64,first-century,saddlebrown
981,1184047,65,first-century,saddlebrown
982,1184529,65,first-century,saddlebrown
983,1184657,70,first-century,saddlebrown
984,1184850,71,first-century,saddlebrown
985,1184916,72,first-century,saddlebrown
986,1184980,86,first-century,saddlebrown
987,1185178,86,first-century,saddlebrown
988,1185552,88,first-century,saddlebrown
989,1185673,89,first-century,saddlebrown
990,1185882,90,first-century,saddlebrown
991,1186069,92,first-century,saddlebrown
992,1186257,96,first-century,saddlebrown
993,1186704,99,first-century,saddlebrown
994,1187084,101,pre-fatimid,orange
995,1187224,101,pre-fatimid,orange
996,1187336,102,pre-fatimid,orange
997,1187469,103,pre-fatimid,orange
998,1187551,104,pre-fatimid,orange
999,1187697,105,pre-fatimid,orange
1000,1187870,105,pre-fatimid,orange
1001,1188130,105,pre-fatimid,orange
1002,1188188,107,pre-fatimid,orange
1003,1188311,7,first-century,saddlebrown
